code,display
S59.9,Unspecified injury of forearm
S60,Superficial injury of wrist and hand
S60.0,Contusion of finger(s) without damage to nail
S60.1,Contusion of finger(s) with damage to nail
S60.2,Contusion of other parts of wrist and hand
S60.7,Multiple superficial injuries of wrist and hand
S60.8,Other superficial injuries of wrist and hand
S60.9,"Superficial injury of wrist and hand, unspecified"
S61,Open wound of wrist and hand
S61.0,Open wound of finger(s) without damage to nail
S61.1,Open wound of finger(s) with damage to nail
S61.7,Multiple open wounds of wrist and hand
S61.8,Open wound of other parts of wrist and hand
S61.9,"Open wound of wrist and hand part, part unspecified"
S62,Fracture at wrist and hand level
S62.0,Fracture of navicular [scaphoid] bone of hand
S62.00,"Fracture of navicular [scaphoid] bone of hand , closed"
S62.01,"Fracture of navicular [scaphoid] bone of hand , open"
S62.1,Fracture of other carpal bone(s)
S62.10,"Fracture of other carpal bone(s) , closed"
S62.11,"Fracture of other carpal bone(s) , open"
S62.2,Fracture of first metacarpal bone
S62.20,"Fracture of first metacarpal bone , closed"
S62.21,"Fracture of first metacarpal bone , open"
S62.3,Fracture of other metacarpal bone
S62.30,"Fracture of other metacarpal bone, closed"
S62.31,"Fracture of other metacarpal bone, open"
S62.4,Multiple fractures of metacarpal bones
S62.40,"Multiple fractures of metacarpal bones , closed"
S62.41,"Multiple fractures of metacarpal bones , open"
S62.5,Fracture of thumb
S62.50,"Fracture of thumb , closed"
S62.51,"Fracture of thumb , open"
S62.6,Fracture of other finger
S62.60,"Fracture of other finger , closed"
S62.61,"Fracture of other finger , open"
S62.7,Multiple fractures of fingers
S62.70,"Multiple fractures of fingers, closed"
S62.71,"Multiple fractures of fingers, open"
S62.8,Fracture of other and unspecified parts of wrist and hand
S62.80,"Fracture of other and unspecified parts of wrist and hand, closed"
S62.81,"Fracture of other and unspecified parts of wrist and hand, open"
S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level"
S63.0,Dislocation of wrist
S63.1,Dislocation of finger
S63.2,Multiple dislocations of fingers
S63.3,Traumatic rupture of ligament of wrist and carpus
S63.4,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s)
S63.5,Sprain and strain of wrist
S63.6,Sprain and strain of finger(s)
S63.7,Sprain and strain of other and unspecified parts of hand
S64,Injury of nerves at wrist and hand level
S64.0,Injury of ulnar nerve at wrist and hand level
S64.1,Injury of median nerve at wrist and hand level
S64.2,Injury of radial nerve at wrist and hand level
S64.3,Injury of digital nerve of thumb
S64.4,Injury of digital nerve of other finger
S64.7,Injury of multiple nerves at wrist and hand level
S64.8,Injury of other nerves at wrist and hand level
S64.9,Injury of unspecified nerve at wrist and hand level
S65,Injury of blood vessels at wrist and hand level
S65.0,Injury of ulnar artery at wrist and hand level
S65.1,Injury of radial artery at wrist and hand level
S65.2,Injury of superficial palmar arch
S65.3,Injury of deep palmar arch
S65.4,Injury of blood vessel(s) of thumb
S65.5,Injury of blood vessel(s) of other finger
S65.7,Injury of multiple blood vessels at wrist and hand level
S65.8,Injury of other blood vessels at wrist and hand level
S65.9,Injury of unspecified blood vessel at wrist and hand level
S66,Injury of muscle and tendon at wrist and hand level
S66.0,Injury of long flexor muscle and tendon of thumb at wrist and hand level
S66.1,Injury of flexor muscle and tendon of other finger at wrist and hand level
S66.2,Injury of extensor muscle and tendon of thumb at wrist and hand level
S66.3,Injury of extensor muscle and tendon of other finger at wrist and hand level
S66.4,Injury of intrinsic muscle and tendon of thumb at wrist and hand level
S66.5,Injury of intrinsic muscle and tendon other finger at wrist and hand level
S66.6,Injury of multiple flexor muscles and tendons at wrist and hand level
S66.7,Injury of multiple extensor muscles and tendons at wrist and hand level
S66.8,Injury of other muscles and tendons at wrist and hand level
S66.9,Injury unspecified muscle and tendon at wrist and hand level
S67,Crushing injury of wrist and hand
S67.0,Crushing injury of thumb and other finger(s)
S67.8,Crush injury other and unspecified parts of wrist and hand
S68,Traumatic amputation of wrist and hand
S68.0,Traumatic amputation of thumb (complete)(partial)
S68.1,Traumatic amputation of other single finger (complete)(partial)
S68.2,Traumatic amputation two or more fingers alone (cmpte/part)
S68.3,Combination traumatic amputation of (part of) finger(s) with other parts wrist and hand
S68.4,Traumatic amputation of hand at wrist level
S68.8,Traumatic amputation of other parts of wrist and hand
S68.9,"Traumatic amputation of wrist and hand, level unspecified"
S69,Other and unspecified injuries of wrist and hand
S69.7,Multiple injuries of wrist and hand
S69.8,Other specified injuries of wrist and hand
S69.9,Unspecified injury of wrist and hand
S70,Superficial injury of hip and thigh
S70.0,Contusion of hip
S70.1,Contusion of thigh
S70.7,Multiple superficial injuries of hip and thigh
S70.8,Other superficial injuries of hip and thigh
S70.9,"Superficial injury of hip and thigh, unspecified"
S71,Open wound of hip and thigh
S71.0,Open wound of hip
S71.1,Open wound of thigh
S71.7,Multiple open wounds of hip and thigh
S71.8,Open wound of other and unspecified parts of pelvic girdle
S72,Fracture of femur
S72.0,Fracture of neck of femur
S72.00,"Fracture of neck of femur, closed"
S72.01,"Fracture of neck of femur, open"
S72.1,Pertrochanteric fracture
S72.10,"Pertrochanteric fracture, closed"
S72.11,"Pertrochanteric fracture, open"
S72.2,Subtrochanteric fracture
S72.20,"Subtrochanteric fracture, closed"
S72.21,"Subtrochanteric fracture, open"
S72.3,Fracture of shaft of femur
S72.30,"Fracture of shaft of femur, closed"
S72.31,"Fracture of shaft of femur, open"
S72.4,Fracture of lower end of femur
S72.40,"Fracture of lower end of femur, closed"
S72.41,"Fracture of lower end of femur, open"
S72.7,Multiple fractures of femur
S72.70,"Multiple fractures of femur, closed"
S72.71,"Multiple fractures of femur, open"
S72.8,Fractures of other parts of femur
S72.80,"Fractures of other parts of femur, closed"
S72.81,"Fractures of other parts of femur, open"
S72.9,"Fracture of femur, part unspecified"
S72.90,"Fracture of femur, part unspecified, closed"
S72.91,"Fracture of femur, part unspecified , open"
S73,"Dislocation, sprain and strain of joint and ligaments of hip"
S73.0,Dislocation of hip
S73.1,Sprain and strain of hip
S74,Injury of nerves at hip and thigh level
S74.0,Injury of sciatic nerve at hip and thigh level
S74.1,Injury of femoral nerve at hip and thigh level
S74.2,Injury of cutaneous sensory nerve at hip and thigh level
S74.7,Injury of multiple nerves at hip and thigh level
S74.8,Injury of other nerves at hip and thigh level
S74.9,Injury of unspecified nerve at hip and thigh level
S75,Injury of blood vessels at hip and thigh level
S75.0,Injury of femoral artery
S75.1,Injury of femoral vein at hip and thigh level
S75.2,Injury of greater saphenous vein at hip and thigh level
S75.7,Injury of multiple blood vessels at hip and thigh level
S75.8,Injury of other blood vessels at hip and thigh level
S75.9,Injury of unspecified blood vessel at hip and thigh level
S76,Injury of muscle and tendon at hip and thigh level
S76.0,Injury of muscle and tendon of hip
S76.1,Injury of quadriceps muscle and tendon
S76.2,Injury of adductor muscle and tendon of thigh
S76.3,Injury of muscle and tendon of the posterior muscle group at thigh level
S76.4,Injury of other and unspec muscles and tendons at thigh level
S76.7,Injury of multiple muscles and tendons at hip & thigh level
S77,Crushing injury of hip and thigh
S77.0,Crushing injury of hip
S77.1,Crushing injury of thigh
S77.2,Crushing injury of hip with thigh
S78,Traumatic amputation of hip and thigh
S78.0,Traumatic amputation at hip joint
S78.1,Traumatic amputation at level between hip and knee
S78.9,"Traumatic amputation of hip and thigh, level unspecified"
S79,Other and specified injuries of hip and thigh
S79.7,Multiple injuries of hip and thigh
S79.8,Other specified injuries of hip and thigh
S79.9,Unspecified injury of hip and thigh
S80,Superficial injury of lower leg
S80.0,Contusion of knee
S80.1,Contusion of other and unspecified parts of lower leg
S80.7,Multiple superficial injuries of lower leg
S80.8,Other superficial injuries of lower leg
S80.9,"Superficial injury of lower leg, unspecified"
S81,Open wound of lower leg
S81.0,Open wound of knee
S81.7,Multiple open wounds of lower leg
S81.8,Open wound of other parts of lower leg
S81.9,"Open wound of lower leg, part unspecified"
S82,"Fracture of lower leg, including ankle"
S82.0,Fracture of patella
S82.00,"Fracture of patella, closed"
S82.01,"Fracture of patella, open"
S82.1,Fracture of upper end of tibia
S82.10,"Fracture of upper end of tibia, closed"
S82.11,"Fracture of upper end of tibia , open"
S82.2,Fracture of shaft of tibia
S82.20,"Fracture of shaft of tibia, closed"
S82.21,"Fracture of shaft of tibia , open"
S82.3,Fracture of lower end of tibia
S82.30,"Fracture of lower end of tibia, closed"
S82.31,"Fracture of lower end of tibia , open"
S82.4,Fracture of fibula alone
S82.40,"Fracture of fibula alone, closed"
S82.41,"Fracture of fibula alone , open"
S82.5,Fracture of medial malleolus
S82.50,"Fracture of medial malleolus, closed"
S82.51,"Fracture of medial malleolus , open"
S82.6,Fracture of lateral malleolus
S82.60,"Fracture of lateral malleolus, closed"
S82.61,"Fracture of lateral malleolus, open"
S82.7,Multiple fractures of lower leg
S82.70,"Multiple fractures of lower leg, closed"
S82.71,"Multiple fractures of lower leg, open"
S82.8,Fractures of other parts of lower leg
S82.80,"Fractures of other parts of lower leg, closed"
S82.81,"Fractures of other parts of lower leg, open"
S82.9,"Fracture of lower leg, part unspecified"
S82.90,"Fracture of lower leg, part unspecified, closed"
S82.91,"Fracture of lower leg, part unspecified , open"
S83,"Dislocation, sprain and strain of joints and ligaments of knee"
S83.0,Dislocation of patella
S83.1,Dislocation of knee
S83.2,"Tear of meniscus, current"
S83.3,"Tear of articular cartilage of knee, current"
S83.4,Sprain and strain involving (fibular)(tibial) collateral lig knee
S83.5,Sprain and strain involving (anterior)(posterior) cruciate lig knee
S83.6,Sprain and strain of other and unspecified parts of knee
S83.7,Injury to multiple structures of knee
S84,Injury of nerves at lower leg level
S84.0,Injury of tibial nerve at lower leg level
S84.1,Injury of peroneal nerve at lower leg level
S84.2,Injury of cutaneous sensory nerve at lower leg level
S84.7,Injury of multiple nerves at lower leg level
S84.8,Injury of other nerves at lower leg level
S84.9,Injury of unspecified nerve at lower leg level
S85,Injury of blood vessels at lower leg level
S85.0,Injury of popliteal artery
S85.1,Injury of (anterior)(posterior) tibial artery
S85.2,Injury of peroneal artery
S85.3,Injury of greater saphenous vein at lower leg level
S85.4,Injury of lesser saphenous vein at lower leg level
S85.5,Injury of popliteal vein
S85.7,Injury of multiple blood vessels at lower leg level
S85.8,Injury of other blood vessels at lower leg level
S85.9,Injury of unspecified blood vessel at lower leg level
S86,Injury of muscle and tendon at lower leg level
S86.0,Injury of achilles tendon
S86.1,Injury other muscle(s) tendon(s) of posterior muscle group at low leg level
S86.2,Injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level
S86.3,Injury of muscle(s) and tendon(s) peroneal muscle group at lower leg level
S86.7,Injury of multiple muscles and tendons at lower leg level
S86.8,Injury of other muscles and tendons at lower leg level
S86.9,Injury of unspecified muscle and tendon at lower leg level
S87,Crushing injury of lower leg
S87.0,Crushing injury of knee
S87.8,Crushing injury of other and unspecified parts of lower leg
S88,Traumatic amputation of lower leg
S88.0,Traumatic amputation at knee level
S88.1,Traumatic amputation at level between knee and ankle
S88.9,"Traumatic amputation of lower leg, level unspecified"
S89,Other and unspecified injuries of lower leg
S89.7,Multiple injuries of lower leg
S89.8,Other specified injuries of lower leg
S89.9,Unspecified injury of lower leg
S90,Superficial injury of ankle and foot
S90.0,Contusion of ankle
S90.1,Contusion of toe(s) without damage to nail
S90.2,Contusion of toe(s) with damage to nail
S90.3,Contusion of other and unspecified parts of foot
S90.7,Multiple superficial injuries of ankle and foot
S90.8,Other superficial injuries of ankle and foot
S90.9,"Superficial injury of ankle and foot, unspecified"
S91,Open wound of ankle and foot
S91.0,Open wound of ankle
S91.1,Open wound of toe(s) without damage to nail
S91.2,Open wound of toe(s) with damage to nail
S91.3,Open wound of other parts of foot
S91.7,Multiple open wounds of ankle and foot
S92,"Fracture of foot, except ankle"
S92.0,Fracture of calcaneus
S92.00,"Fracture of calcaneus, closed"
S92.01,"Fracture of calcaneus , open"
S92.1,Fracture of talus
S92.10,"Fracture of talus, closed"
S92.11,"Fracture of talus, open"
S92.2,Fracture of other tarsal bone(s)
S92.20,"Fracture of other tarsal bone(s) , closed"
S92.21,"Fracture of other tarsal bone(s) , open"
S92.3,Fracture of metatarsal bone
S92.30,"Fracture of metatarsal bone, closed"
S92.31,"Fracture of metatarsal bone , open"
S92.4,Fracture of great toe
S92.40,"Fracture of great toe, closed"
S92.41,"Fracture of great toe, open"
S92.5,Fracture of other toe
S92.50,"Fracture of other toe, closed"
S92.51,"Fracture of other toe, open"
S92.7,Multiple fractures of foot
S92.70,"Multiple fractures of foot, closed"
S92.71,"Multiple fractures of foot , open"
S92.9,"Fracture of foot, unspecified"
S92.90,"Fracture of foot, unspecified, closed"
S92.91,"Fracture of foot, unspecified , open"
S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level"
S93.0,Dislocation of ankle joint
S93.1,Dislocation of toe(s)
S93.2,Rupture of ligaments at ankle and foot level
S93.3,Dislocation of other and unspecified parts of foot
S93.4,Sprain and strain of ankle
S93.5,Sprain and strain of toe(s)
S93.6,Sprain and strain of other and unspecified parts of foot
S94,Injury of nerves at ankle and foot level
S94.0,Injury of lateral plantar nerve
S94.1,Injury of medial plantar nerve
S94.2,Injury of deep peroneal nerve at ankle and foot level
S94.3,Injury of cutaneous sensory nerve at ankle and foot level
S94.7,Injury of multiple nerves at ankle and foot level
S94.8,Injury of other nerves at ankle and foot level
S94.9,Injury of unspecified nerve at ankle and foot level
S95,Injury of blood vessels at ankle and foot level
S95.0,Injury of dorsal artery of foot
S95.1,Injury of plantar artery of foot
S95.2,Injury of dorsal vein of foot
S95.7,Injury of multiple blood vessels at ankle and foot level
S95.8,Injury of other blood vessels at ankle and foot level
S95.9,Injury of unspecified blood vessel at ankle and foot level
S96,Injury of muscle and tendon at ankle and foot level
S96.0,Injury muscle and tendon of long flexor muscle toe at ankle and foot level
S96.1,Injury muscle & tendon long extensor muscle toe at ankle and foot level
S96.2,Injury of intrinsic muscle and tendon at ankle and foot level
S96.7,Injury of multi muscles and tendons at ankle and foot level
S96.8,Injury of other muscles and tendons at ankle and foot level
S96.9,Injury of unspec muscle and tendon at ankle and foot level
S97,Crushing injury of ankle and foot
S97.0,Crushing injury of ankle
S97.1,Crushing injury of toe(s)
S97.8,Crushing injury of other parts of ankle and foot
S98,Traumatic amputation of ankle and foot
S98.0,Traumatic amputation of foot at ankle level
S98.1,Traumatic amputation of one toe
S98.2,Traumatic amputation of two or more toes
S98.3,Traumatic amputation of other parts of foot
S98.4,"Traumatic amputation of foot, level unspecified"
S99,Other and unspecified injuries of ankle and foot
S99.7,Multiple injuries of ankle and foot
S99.8,Other specified injuries of ankle and foot
S99.9,Unspecified injury of ankle and foot
T00,Superficial injuries involving multiple body regions
T00.0,Superficial injuries involving head with neck
T00.1,"Superficial injuries involving thorax with abdomen, lower back and pelvis"
T00.2,Superficial injuries involving multiple region of upper limb(s)
T00.3,Superficial injuries involving multiple region of lower limb(s)
T00.6,Superficial injuries involving multiple region upper limb(s) with lower limb(s)
T00.8,Superfic injuries involving oth combinations of body regions
T00.9,"Multiple superficial injuries, unspecified"
T01,Open wounds involving multiple body regions
T01.0,Open wounds involving head with neck
T01.1,"Open wounds involving thorax wth abdomen, lower back and pelvis"
T01.2,Open wounds involving multiple regions of upper limb(s)
T01.3,Open wounds involving multiple regions of lower limb(s)
T01.6,Open wounds involving multiple regions of up limb(s) with low limb(s)
T01.8,Open wounds involving other combinations of body regions
T01.9,"Multiple open wounds, unspecified"
T02,Fractures involving multiple body regions
T02.0,Fractures involving head with neck
T02.00,"Fractures involving head with neck, closed"
T02.01,"Fractures involving head with neck, open"
T02.1,Fractures involving thorax with lower back and pelvis
T02.10,"Fractures involving thorax with lower back and pelvis, closed"
T02.11,"Fractures involving thorax with lower back and pelvis, open"
T02.2,Fractures involving multiple regions of one upper limb
T02.20,"Fractures involving multiple regions of one upper limb, closed"
T02.21,"Fractures involving multiple regions of one upper limb, open"
T02.3,Fractures involving multiple regions of one lower limb
T02.30,"Fractures involving multiple regions of one lower limb, closed"
T02.31,"Fractures involving multiple regions of one lower limb, open"
T02.4,Fractures involving multiple regions of both upper limbs
T02.40,"Fractures involving multiple regions of both upper limbs, closed"
T02.41,"Fractures involving multiple regions of both upper limbs, open"
T02.5,Fractures involving multiple regions of both lower limbs
T02.50,"Fractures involving multiple regions of both lower limbs, closed"
T02.51,"Fractures involving multiple regions of both lower limbs, open"
T02.6,Fractures involving multiple regions of up limb(s) with low limb(s)
T02.60,"Fractures involving multiple regions of up limb(s) with low limb(s), closed"
T02.61,"Fractures involving multiple regions of up limb(s) with low limb(s), open"
T02.7,Fractures involving thorax with lower back and pelvis with limb(s)
T02.70,"Fractures involving thorax with lower back and pelvis with limb(s), closed"
T02.71,"Fractures involving thorax with lower back and pelvis with limb(s), open"
T02.8,Fractures involving other combinations of body regions
T02.80,"Fractures involving other combinations of body regions, closed"
T02.81,"Fractures involving other combinations of body regions, open"
T02.9,"Multiple fractures, unspecified"
T02.90,"Multiple fractures, unspecified, closed"
T02.91,"Multiple fractures, unspecified, open"
T03,"Dislocations, sprains and strains involving multiple body regions"
T03.0,"Dislocations, sprains and strains involving head with neck"
T03.1,Dislocation sprains and strains involving thorax wth lower back and pelvis
T03.2,Dislocation sprains and strains involving multiple regions upper limb(s)
T03.3,Dislocation sprains and strains involving multiple reginns lower limb(s)
T03.4,Dislocation sprains and strains involving multiple regions  upper & lower limb(s)
T03.8,Dislocation sprains and strains involving other combinations body regions
T03.9,"Multiple dislocations, sprains and strains, unspecified"
T04,Crushing injuries involving multiple body regions
T04.0,Crushing injuries involving head with neck
T04.1,Crush injuries involving thorax with abdomen lower back and pelvis
T04.2,Crushing injuries involving multiple region of upper limb(s)
T04.3,Crushing injuries involving multiple region of lower limb(s)
T04.4,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s)
T04.7,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)"
T04.8,Crushing injuries involving other combinations of body regions
T04.9,"Multiple crushing injuries, unspecified"
T05,Traumatic amputations involving multiple body regions
T05.0,Traumatic amputation of both hands
T05.1,"Traumatic amputation of one hand and other arm [any level, except hand]"
T05.2,Traumatic amputation of both arms [any level]
T05.3,Traumatic amputation of both feet
T05.4,Traumatic amputation of one foot and other leg [any level except foot]
T05.5,Traumatic amputation of both legs [any level]
T05.6,"Traumatic amputation of upper and lower limbs, any combination [any level]"
T05.8,Traumatic amputations involving other combinations of body regions
T05.9,"Multiple traumatic amputations, unspecified"
T06,"Other injuries involving multiple body regions, not elsewhere classified"
T06.0,Injuries of  brain and cranial nerve with injuries of nerves and spinal cord neck level
T06.1,Injuries of nerves and spinal cord involving other multiple body regions
T06.2,Injuries of nerves involving multiple body regions
T06.3,Injuries of blood vessels involving multiple body regions
T06.4,Injuries of muscles and tendons involving multiple body regions
T06.5,Injuries of  intrathoracic organ with intra-abdominal and pelvic organs
T06.8,Other specified injuries involving multiple body regions
T07,Unspecified multiple injuries
T08,"Fracture of spine, level unspecified"
T08.0,"Fracture of spine, level unspecified , closed"
T08.1,"Fracture of spine, level unspecified , open"
T09,"Other injuries of spine and trunk, level unspecified"
T09.0,"Superficial injury of trunk, level unspecified"
T09.1,"Open wound of trunk, level unspecified"
T09.2,Dislocation sprain and strain unspec joint and ligament trunk
T09.3,"Injury of spinal cord, level unspecified"
T09.4,"Injury unspecified nerve, spinal nerve root and plexus of trunk"
T09.5,Injury of unspecified muscle and tendon of trunk
T09.6,"Traumatic amputation of trunk, level unspecified"
T09.8,"Other specified injuries of trunk, level unspecified"
T09.9,"Unspecified injury of trunk, level unspecified"
T10,"Fracture of upper limb, level unspecified"
T10.0,"Fracture of upper limb, level unspecified , closed"
T10.1,"Fracture of upper limb, level unspecified , open"
T11,"Other injuries of upper limb, level unspecified"
T11.0,"Superficial injury of upper limb, level unspecified"
T11.1,"Open wound of upper limb, level unspecified"
T11.2,Disl'n sprain/strain unsp joint & ligament upr limb lvl unsp
T11.3,"Injury of unspecified nerve of upper limb, level unspecified"
T11.4,Injury of unspec blood vessel of upper limb level unspec act
T11.5,Injury of unspec muscle & tendon of upr limb level unspec act
T11.6,"Traumatic amputation of upper limb, level unspecified"
T11.8,"Other specified injuries of upper limb, level unspecified"
T11.9,"Unspecified injury of upper limb, level unspecified"
T12,"Fracture of lower limb, level unspecified"
T12.0,"Fracture of lower limb, level unspecified, closed"
T12.1,"Fracture of lower limb, level unspecified, open"
T13,"Other injuries of lower limb, level unspecified"
T13.0,"Superficial injury of lower limb, level unspecified"
T13.1,"Open wound of lower limb, level unspecified"
T13.2,"Dislocation sprain and strain unspecified joint and ligament of lower limb, level unspecified"
T13.3,"Injury of unspecified nerve of lower limb, level unspecified"
T13.4,Injury of unspecified blood vessel of lower limb level unspecified
T13.5,"Injury of unspecified muscle & tendon of lower limb, level unspecified"
T13.6,"Traumatic amputation of lower limb, level unspecified"
T13.8,"Other specified injuries of lower limb, level unspecified"
T13.9,"Unspecified injury of lower limb, level unspecified"
T14,Injury of unspecified body region
T14.0,Superficial injury of unspecified body region
T14.1,Open wound of unspecified body region
T14.2,Fracture of unspecified body region
T14.20,"Fracture of unspecified body region, closed"
T14.21,"Fracture of unspecified body region, open"
T14.3,"Dislocation, sprain and strain of unspecified body region"
T14.30,"Dislocation, sprain and strain of unspecified body region, closed"
T14.31,"Dislocation, sprain and strain of unspecified body region, open"
T14.4,Injury of nerve(s) of unspecified body region
T14.40,"Injury of nerve(s) of unspecified body region, closed"
T14.41,"Injury of nerve(s) of unspecified body region, open"
T14.5,Injury of blood vessel(s) of unspecified body region
T14.50,"Injury of blood vessel(s) of unspecified body region, closed"
T14.51,"Injury of blood vessel(s) of unspecified body region, open"
T14.6,Injury of muscles and tendons of unspecified body region
T14.60,"Injury of muscles and tendons of unspecified body region, closed"
T14.61,"Injury of muscles and tendons of unspecified body region, open"
T14.7,Crush injury and traumatic amputation of unspec body region
T14.70,"Crush injury and traumatic amputation of unspec body region, closed"
T14.71,"Crush injury and traumatic amputation of unspec body region, open"
T14.8,Other injuries of unspecified body region
T14.80,"Other injuries of unspecified body region, closed"
T14.81,"Other injuries of unspecified body region, open"
T14.9,"Injury, unspecified"
T14.90,"Injury, unspecified, closed"
T14.91,"Injury, unspecified, open"
T15,Foreign body on external eye
T15.0,Foreign body in cornea
T15.1,Foreign body in conjunctival sac
T15.8,Foreign body in other and multiple parts of external eye
T15.9,"Foreign body on external eye, part unspecified"
T16,Foreign body in ear
T17,Foreign body in respiratory tract
T17.0,Foreign body in nasal sinus
T17.1,Foreign body in nostril
T17.2,Foreign body in pharynx
T17.3,Foreign body in larynx
T17.4,Foreign body in trachea
T17.5,Foreign body in bronchus
T17.8,Foreign body in other and multiple parts of respiratory tract
T17.9,"Foreign body in respiratory tract, part unspecified"
T18,Foreign body in alimentary tract
T18.0,Foreign body in mouth
T18.1,Foreign body in oesophagus
T18.2,Foreign body in stomach
T18.3,Foreign body in small intestine
T18.4,Foreign body in colon
T18.5,Foreign body in anus and rectum
T18.8,Foreign body in other and multiple parts of alimentary tract
T18.9,"Foreign body in alimentary tract, part unspecified"
T19,Foreign body in genitourinary tract
T19.0,Foreign body in urethra
T19.1,Foreign body in bladder
T19.2,Foreign body in vulva and vagina
T19.3,Foreign body in uterus [any part]
T19.8,Foreign body in oth and multiple part of genitourinary tract
T19.9,"Foreign body in genitourinary tract, part unspecified"
T20,Burn and corrosion of head and neck
T20.0,Burn of unspecified degree of head and neck
T20.1,Burn of first degree of head and neck
T20.2,Burn of second degree of head and neck
T20.3,Burn of third degree of head and neck
T20.4,Corrosion of unspecified degree of head and neck
T20.5,Corrosion of first degree of head and neck
T20.6,Corrosion of second degree of head and neck
T20.7,Corrosion of third degree of head and neck
T21,Burn and corrosion of trunk
T21.0,Burn of unspecified degree of trunk
T21.1,Burn of first degree of trunk
T21.2,Burn of second degree of trunk
T21.3,Burn of third degree of trunk
T21.4,Corrosion of unspecified degree of trunk
T21.5,Corrosion of first degree of trunk
T21.6,Corrosion of second degree of trunk
T21.7,Corrosion of third degree of trunk
T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
T22.0,Burn  of unspecified degree of shoulder and upper limb except wrist and hand
T22.1,"Burn of first degree of shoulder and upper limb, except wrist and hand"
T22.2,"Burn of secondary degree of shoulder and upper limb, except wrist and hand"
T22.3,Burn of third degree of shoulder and upper limb excpt wrist and hand
T22.4,Corrosion unspecified degree of shoulder and upper limb except wrist and hand
T22.5,"Corrosion of first degree of shoulder and upper limb, except wrist and hand"
T22.6,Corrosion secondary degree shoulder and upper limb except wrist and hand
T22.7,"Corrosion of third degree shoulder and upper limb, except wrist and hand"
T23,Burn and corrosion of wrist and hand
T23.0,Burn of unspecified degree of wrist and hand
T23.1,Burn of first degree of wrist and hand
T23.2,Burn of second degree of wrist and hand
T23.3,Burn of third degree of wrist and hand
T23.4,Corrosion of unspecified degree of wrist and hand
T23.5,Corrosion of first degree of wrist and hand
T23.6,Corrosion of second degree of wrist and hand
T23.7,Corrosion of third degree of wrist and hand
T24,"Burn and corrosion of hip and lower limb, except ankle and foot"
T24.0,Burn of unspecified degree of hip and lower limb except ankle and foot
T24.1,Burn of first degree hip and lower limb except ankle and foot
T24.2,Burn of second degree hip and lower limb except ankle and foot
T24.3,Burn of third degree hip and lower limb except ankle and foot
T24.4,Corrosion of unspecified degree hip and lower limb except ankle & foot
T24.5,"Corrosion of first degree hip and lower limb, except ankle & foot"
T24.6,"Corrosion of second degree hip and lower limb, except ankle and foot"
T24.7,"Corrosion of third degree of hip and lower limb, except ankle and foot"
T25,Burn and corrosion of ankle and foot
T25.0,Burn of unspecified degree of ankle and foot
T25.1,Burn of first degree of ankle and foot
T25.2,Burn of second degree of ankle and foot
T25.3,Burn of third degree of ankle and foot
T25.4,Corrosion of unspecified degree of ankle and foot
T25.5,Corrosion of first degree of ankle and foot
T25.6,Corrosion of second degree of ankle and foot
T25.7,Corrosion of third degree of ankle and foot
T26,Burn and corrosion confined to eye and adnexa
T26.0,Burn of eyelid and periocular area
T26.1,Burn of cornea and conjunctival sac
T26.2,Burn with resulting rupture and destruction of eyeball
T26.3,Burn of other parts of eye and adnexa
T26.4,"Burn of eye and adnexa, part unspecified"
T26.5,Corrosion of eyelid and periocular area
T26.6,Corrosion of cornea and conjunctival sac
T26.7,Corrosion with resulting rupture and destruction of eyeball
T26.8,Corrosion of other parts of eye and adnexa
T26.9,"Corrosion of eye and adnexa, part unspecified"
T27,Burn and corrosion of respiratory tract
T27.0,Burn of larynx and trachea
T27.1,Burn involving larynx and trachea with lung
T27.2,Burn of other parts of respiratory tract
T27.3,"Burn of respiratory tract, part unspecified"
T27.4,Corrosion of larynx and trachea
T27.5,Corrosion involving larynx and trachea with lung
T27.6,Corrosion of other parts of respiratory tract
T27.7,"Corrosion of respiratory tract, part unspecified"
T28,Burn and corrosion of other internal organs
T28.0,Burn of mouth and pharynx
T28.1,Burn of oesophagus
T28.2,Burn of other parts of alimentary tract
T28.3,Burn of internal genitourinary organs
T28.4,Burn of other and unspecified internal organs
T28.5,Corrosion of mouth and pharynx
T28.6,Corrosion of oesophagus
T28.7,Corrosion of other parts of alimentary tract
T28.8,Corrosion of internal genitourinary organs
T28.9,Corrosion of other and unspecified internal organs
T29,Burns and corrosions of multiple body regions
T29.0,"Burns of multiple regions, unspecified degree"
T29.1,Burns multi regions no more than first-degree burns mentioned
T29.2,Burns multi regions no more than second-degree burns mentioned
T29.3,Burns multi regions at least one burn of third degree mentioned
T29.4,"Corrosions of multiple regions, unspecified degree"
T29.5,"Corrosions of  multiple regions, no more than first-deg corrosions mentioned"
T29.6,"Corrosions of  multiple regions, no more than second-degree corrosions mentioned"
T29.7,Corros multi reg at least one corros of third deg mentioned
T30,"Burn and corrosion, body region unspecified"
T30.0,"Burn of unspecified body region, unspecified degree"
